intento: 22 tiempo: 0.019 [0.0292554249821211 0.00321499306966006 0.00267478543569765 0.00408715480481708 0.00258822432422004 0.00406392723838255 0.00369170059144753 0.00404098203863926;0.00321499306966006 0.0305199203187073 0.0037277682010261 0.00358273166171478 0.00335416970682014 0.00408261922967507 0.00437395443751863 0.00474968468047733;0.00267478543569765 0.0037277682010261 0.0285748829570095 0.00301854215122807 0.00335404617350613 0.00335336493307113 0.00291564088236715 0.00352269428897704;0.00408715480481708 0.00358273166171478 0.00301854215122807 0.0283669663205729 0.00341645446845121 0.00442974627800303 0.00333874508176025 0.00416750652784701;0.00258822432422004 0.00335416970682014 0.00335404617350613 0.00341645446845121 0.0281867974715689 0.00430992458251905 0.00404981283852228 0.00340967391387334;0.00406392723838255 0.00408261922967507 0.00335336493307113 0.00442974627800303 0.00430992458251905 0.030050911165172 0.00444116683088837 0.00558958736816865;0.00369170059144753 0.00437395443751863 0.00291564088236715 0.00333874508176025 0.00404981283852228 0.00444116683088837 0.0299709632362637 0.0047727837720267;0.00404098203863926 0.00474968468047733 0.00352269428897704 0.00416750652784701 0.00340967391387334 0.00558958736816865 0.0047727837720267 0.0308457221553577]
intento: 24 tiempo: 0.021 [0.0286827218933963 0.002991558224183 0.0023163064286272 0.00312228094187806 0.00370104042880432 0.00301968869518428 0.00338160030312226 0.00413133286309459;0.002991558224183 0.0292094255594428 0.00388100473678224 0.00421412292474451 0.00441918188924851 0.00397611813489578 0.00505155600050483 0.00437905386022173;0.0023163064286272 0.00388100473678224 0.028318059774229 0.00269770449276217 0.00330159397836347 0.00348668206341233 0.00373780644893925 0.00272620128549502;0.00312228094187806 0.00421412292474451 0.00269770449276217 0.0300665759520054 0.00369744014529149 0.00396356398882244 0.00485266318034685 0.00441952151737371;0.00370104042880432 0.00441918188924851 0.00330159397836347 0.00369744014529149 0.0291803071104599 0.00366011864478987 0.00374741789941246 0.00332558507389847;0.00301968869518428 0.00397611813489578 0.00348668206341233 0.00396356398882244 0.00366011864478987 0.0298673522029498 0.00473398740550994 0.00392859380696881;0.00338160030312226 0.00505155600050483 0.00373780644893925 0.00485266318034685 0.00374741789941246 0.00473398740550994 0.0298143289957455 0.0044017700227904;0.00413133286309459 0.00437905386022173 0.00272620128549502 0.00441952151737371 0.00332558507389847 0.00392859380696881 0.0044017700227904 0.0292507314218429]
intento: 26 tiempo: 0.019 [0.0283404198793533 0.0032788273137065 0.00285170749856041 0.00494292320903599 0.00412997745602923 0.00310082539391161 0.00362313755375267 0.00347851996004843;0.0032788273137065 0.0272553353922833 0.00417609980952546 0.0042614163791374 0.00405923987024378 0.00280645547079489 0.0032436196228071 0.00298380872943502;0.00285170749856041 0.00417609980952546 0.0284433999747306 0.00344718114811591 0.00383641324823857 0.00348978766113439 0.00310221800034031 0.00372069118810083;0.00494292320903599 0.0042614163791374 0.00344718114811591 0.0287731103717458 0.00352607492128475 0.00314515830762085 0.00368707044263889 0.00291824651413723;0.00412997745602923 0.00405923987024378 0.00383641324823857 0.00352607492128475 0.0278033235498422 0.00255565150813465 0.00347787601690409 0.00302889827443919;0.00310082539391161 0.00280645547079489 0.00348978766113439 0.00314515830762085 0.00255565150813465 0.0258108665004905 0.00335947802665577 0.0032538536688477;0.00362313755375267 0.0032436196228071 0.00310221800034031 0.00368707044263889 0.00347787601690409 0.00335947802665577 0.0276780603577351 0.00380527658602759;0.00347851996004843 0.00298380872943502 0.00372069118810083 0.00291824651413723 0.00302889827443919 0.0032538536688477 0.00380527658602759 0.0275648882739542]
intento: 28 tiempo: 0.019 [0.0299961353394596 0.00412941091330699 0.00313730202626297 0.00361629777533679 0.00404459185926214 0.00368453805882631 0.00314309438967703 0.00355544570272666;0.00412941091330699 0.0321629267641806 0.00445210669469828 0.00340005031688503 0.00400827419541582 0.00509637754517871 0.00316000380616238 0.00246277350817223;0.00313730202626297 0.00445210669469828 0.032190050455425 0.00511075906054205 0.00515547051285205 0.00472397630963569 0.00400486562437603 0.00359082591109505;0.00361629777533679 0.00340005031688503 0.00511075906054205 0.0315403211800111 0.00423365726284718 0.00558016621609775 0.0042101396323873 0.00368532822637644;0.00404459185926214 0.00400827419541582 0.00515547051285205 0.00423365726284718 0.0320787872210129 0.00441458136591852 0.00402447217076447 0.00297742485463301;0.00368453805882631 0.00509637754517871 0.00472397630963569 0.00558016621609775 0.00441458136591852 0.0312804366270589 0.00402213325570237 0.00324024609734977;0.00314309438967703 0.00316000380616238 0.00400486562437603 0.0042101396323873 0.00402447217076447 0.00402213325570237 0.0304533186889433 0.00340365467489117;0.00355544570272666 0.00246277350817223 0.00359082591109505 0.00368532822637644 0.00297742485463301 0.00324024609734977 0.00340365467489117 0.0310257103634254]
intento: 30 tiempo: 0.019 [0.0317289723577513 0.00508318023786598 0.00388890968384366 0.0030173428446714 0.0043459978713638 0.00325112000495259 0.00438381723669524 0.00410518155110775;0.00508318023786598 0.0303708861387533 0.00424929890023147 0.00309705744544057 0.00420899529848228 0.00340079299313761 0.00356352707968866 0.00435001114354461;0.00388890968384366 0.00424929890023147 0.029751085228301 0.00373648441168529 0.00413738586671507 0.0023725190475768 0.0037472365097074 0.00309394745551559;0.0030173428446714 0.00309705744544057 0.00373648441168529 0.0287104967970338 0.00386755939870551 0.00231541855271772 0.00417553633989051 0.0041350484449002;0.0043459978713638 0.00420899529848228 0.00413738586671507 0.00386755939870551 0.0314000012384559 0.003079950703977 0.00504846525704383 0.0038452229179278;0.00325112000495259 0.00340079299313761 0.0023725190475768 0.00231541855271772 0.003079950703977 0.0286505328313478 0.0043317265472594 0.00430005110871422;0.00438381723669524 0.00356352707968866 0.0037472365097074 0.00417553633989051 0.00504846525704383 0.0043317265472594 0.0316624763856907 0.00387265582703566;0.00410518155110775 0.00435001114354461 0.00309394745551559 0.0041350484449002 0.0038452229179278 0.00430005110871422 0.00387265582703566 0.0293300320794049]
intento: 32 tiempo: 0.019 [0.0302611038613511 0.00357392744223171 0.00358948836623447 0.00371291373598904 0.00417174504216172 0.00477432897325267 0.00405958966186229 0.00369177866052358;0.00357392744223171 0.0301873388941232 0.00304227236757507 0.00432632161516419 0.0032393720821778 0.00388183360007737 0.0041634899908612 0.00374056855031776;0.00358948836623447 0.00304227236757507 0.0278202320396802 0.0034151782164817 0.00334669469850066 0.00306308589617747 0.00312056109764651 0.00268534910955008;0.00371291373598904 0.00432632161516419 0.0034151782164817 0.0302663864740589 0.00408606541199898 0.00446431493714523 0.00424056127932384 0.00404273806703309;0.00417174504216172 0.0032393720821778 0.00334669469850066 0.00408606541199898 0.027569308224971 0.00340497700515193 0.00368180875804609 0.00386300852594029;0.00477432897325267 0.00388183360007737 0.00306308589617747 0.00446431493714523 0.00340497700515193 0.0293605971649883 0.00442438133661419 0.00330938760488558;0.00405958966186229 0.0041634899908612 0.00312056109764651 0.00424056127932384 0.00368180875804609 0.00442438133661419 0.0294783974567919 0.00263012964347439;0.00369177866052358 0.00374056855031776 0.00268534910955008 0.00404273806703309 0.00386300852594029 0.00330938760488558 0.00263012964347439 0.0279201632673731]
intento: 34 tiempo: 0.018 [0.0344775536293418 0.00408419130565054 0.00491827049890229 0.00537649140521402 0.00429528575003151 0.00500861701755289 0.00528596713924762 0.00514874356582295;0.00408419130565054 0.0324537524729499 0.00452501841726486 0.00488170360458669 0.0050429432805221 0.00389504660458266 0.00421719316618117 0.00381333332988301;0.00491827049890229 0.00452501841726486 0.0353312928495749 0.00656516581320483 0.00433295871267427 0.00510349133707387 0.00487100451122868 0.00437284822336663;0.00537649140521402 0.00488170360458669 0.00656516581320483 0.034056637396485 0.00423728890596667 0.00464353457478794 0.00552521576780361 0.00544364440716698;0.00429528575003151 0.0050429432805221 0.00433295871267427 0.00423728890596667 0.0342821560393134 0.00451399509512406 0.00476456499722446 0.00417843045948544;0.00500861701755289 0.00389504660458266 0.00510349133707387 0.00464353457478794 0.00451399509512406 0.0346283004251694 0.00472101787909047 0.00436593851572766;0.00528596713924762 0.00421719316618117 0.00487100451122868 0.00552521576780361 0.00476456499722446 0.00472101787909047 0.0361423864469232 0.00561272770689132;0.00514874356582295 0.00381333332988301 0.00437284822336663 0.00544364440716698 0.00417843045948544 0.00436593851572766 0.00561272770689132 0.0347778096585971]
intento: 36 tiempo: 0.018 [0.0263658094899914 0.00373239099193157 0.00340958604977259 0.00386365941252127 0.00264619258318886 0.00247810278608116 0.00305600184698648 0.00311319698396342;0.00373239099193157 0.0278754304003422 0.00339284591020789 0.00418942684528912 0.0039054129017145 0.00304956281353095 0.00402101753477184 0.00341233752008223;0.00340958604977259 0.00339284591020789 0.0273373471951014 0.00350893165984319 0.00357556705787381 0.00405789127429265 0.00386536513779437 0.00422340388338912;0.00386365941252127 0.00418942684528912 0.00350893165984319 0.0290222068634011 0.00419867418240702 0.00352017799469701 0.00402994842778229 0.00397915197638322;0.00264619258318886 0.0039054129017145 0.00357556705787381 0.00419867418240702 0.029231998945174 0.00382764265904042 0.00249840289624956 0.00355481040958227;0.00247810278608116 0.00304956281353095 0.00405789127429265 0.00352017799469701 0.00382764265904042 0.0276713801186843 0.00309361058766443 0.00282648797868832;0.00305600184698648 0.00402101753477184 0.00386536513779437 0.00402994842778229 0.00249840289624956 0.00309361058766443 0.0274003455420044 0.00316941974135096;0.00311319698396342 0.00341233752008223 0.00422340388338912 0.00397915197638322 0.00355481040958227 0.00282648797868832 0.00316941974135096 0.0271392348753526]
intento: 38 tiempo: 0.022 [0.0290179318678318 0.00289132743991239 0.00414414120493998 0.00362462494968761 0.00335774249988349 0.00388417545555465 0.00413392700340136 0.00389170636269517;0.00289132743991239 0.0296590414765116 0.00436478571380393 0.00398572970598207 0.00326405502970875 0.00313945001396214 0.00386478284769405 0.00436529771963337;0.00414414120493998 0.00436478571380393 0.0280574281291485 0.00437571538706137 0.00364879765227121 0.00394777094942917 0.002743392097446 0.00300811861598112;0.00362462494968761 0.00398572970598207 0.00437571538706137 0.0300192253038394 0.0044095696406612 0.00379979081057872 0.00483828131335982 0.00399922858808552;0.00335774249988349 0.00326405502970875 0.00364879765227121 0.0044095696406612 0.03018677307912 0.0033672238210729 0.00421006262433094 0.00285320466241712;0.00388417545555465 0.00313945001396214 0.00394777094942917 0.00379979081057872 0.0033672238210729 0.0281715275112337 0.00420143575145674 0.00372538784978925;0.00413392700340136 0.00386478284769405 0.002743392097446 0.00483828131335982 0.00421006262433094 0.00420143575145674 0.0295302080066238 0.00428988937649403;0.00389170636269517 0.00436529771963337 0.00300811861598112 0.00399922858808552 0.00285320466241712 0.00372538784978925 0.00428988937649403 0.0287894497664728]
intento: 40 tiempo: 0.018 [0.0333759641494171 0.0046683752645209 0.0047537149617808 0.00469034227783408 0.00434252397930603 0.00472421026343633 0.00512704868543458 0.00477167544219934;0.0046683752645209 0.0311499783356557 0.00441529901229497 0.00367694951169909 0.00345741387181723 0.00466389639441721 0.00500069947427115 0.00512152133219325;0.0047537149617808 0.00441529901229497 0.0312942914221907 0.00299399330059845 0.00342553385243955 0.00492354437904188 0.00460693945962903 0.00469198486285741;0.00469034227783408 0.00367694951169909 0.00299399330059845 0.0329713622396292 0.00338291741092461 0.00372491424316607 0.00515565150013203 0.00409347990403293;0.00434252397930603 0.00345741387181723 0.00342553385243955 0.00338291741092461 0.0302697887199113 0.00361122386419033 0.00371717989568713 0.0031861166444874;0.00472421026343633 0.00466389639441721 0.00492354437904188 0.00372491424316607 0.00361122386419033 0.0310617573822273 0.00521477677080666 0.00411806808551494;0.00512704868543458 0.00500069947427115 0.00460693945962903 0.00515565150013203 0.00371717989568713 0.00521477677080666 0.0315297042238331 0.00425405036105819;0.00477167544219934 0.00512152133219325 0.00469198486285741 0.00409347990403293 0.0031861166444874 0.00411806808551494 0.00425405036105819 0.031070932564606]
